"current_season","Month","Numerator","Population","Jurisdiction","Estimate","Age_group_label","Legend","Child or adult"
"2023-24","FEB","7862","155850","New York City","0.0504","6-23 months","2023-24, New York City: 6-23 months","Child"
"2023-24","FEB","8044","547437","Georgia","0.0147","5-8 years","2023-24, Georgia: 5-8 years","Child"
"2023-24","FEB","8080","681696.5","Arkansas","0.0119","6 months to 17 years","2023-24, Arkansas: 6 months to 17 years","Child"
"2023-24","FEB","8126","163419","Connecticut","0.0497","9-12 years","2023-24, Connecticut: 9-12 years","Child"
"2023-24","FEB","8305","108898","Wyoming","0.0763","50-64 years","2023-24, Wyoming: 50-64 years","Adult"
"2023-24","FEB","8545","941363","Florida","0.0091","5-8 years","2023-24, Florida: 5-8 years","Child"
"2023-24","FEB","8569","302877","Missouri","0.0283","5-8 years","2023-24, Missouri: 5-8 years","Child"
"2023-24","FEB","8599","139564","New Mexico","0.0616","13-17 years","2023-24, New Mexico: 13-17 years","Child"
"2023-24","FEB","8800","347351","Indiana","0.0253","5-8 years","2023-24, Indiana: 5-8 years","Child"
"2023-24","FEB","9023","213250","Utah","0.0423","9-12 years","2023-24, Utah: 9-12 years","Child"
"2023-24","FEB","9319","433368","Tennessee","0.0215","13-17 years","2023-24, Tennessee: 13-17 years","Child"
"2023-24","FEB","9440","171599","Pennsylvania","0.055","6-23 months","2023-24, Pennsylvania (excluding Philadelphia County): 6-23 months","Child"
"2023-24","FEB","9442","366688","Arizona","0.0257","5-8 years","2023-24, Arizona: 5-8 years","Child"
"2023-24","FEB","9464","307961","Missouri","0.0307","9-12 years","2023-24, Missouri: 9-12 years","Child"
"2023-24","FEB","9589","163198.5","Michigan","0.0588","6-23 months","2023-24, Michigan: 6-23 months","Child"
"2023-24","FEB","9672","440269.5","Idaho","0.022","6 months to 17 years","2023-24, Idaho: 6 months to 17 years","Child"
"2023-24","FEB","9853","569907","Georgia","0.0173","9-12 years","2023-24, Georgia: 9-12 years","Child"
"2023-24","FEB","10366","287696","Hawaii","0.036","6 months to 17 years","2023-24, Hawaii: 6 months to 17 years","Child"
"2023-24","FEB","10369","208457","Iowa","0.0497","13-17 years","2023-24, Iowa: 13-17 years","Child"
"2023-24","FEB","10422","63424","Oregon","0.1643","6-23 months","2023-24, Oregon: 6-23 months","Child"
"2023-24","FEB","10470","369112","North Carolina","0.0284","2-4 years","2023-24, North Carolina: 2-4 years","Child"
"2023-24","FEB","10479","351878","Indiana","0.0298","9-12 years","2023-24, Indiana: 9-12 years","Child"
"2023-24","FEB","10550","199448","Wisconsin","0.0529","2-4 years","2023-24, Wisconsin: 2-4 years","Child"
"2023-24","FEB","10795","365488","New York State","0.0295","2-4 years","2023-24, New York (excluding New York City): 2-4 years","Child"
"2023-24","FEB","11026","679728","Nevada","0.0162","6 months to 17 years","2023-24, Nevada: 6 months to 17 years","Child"
"2023-24","FEB","11139","955019","Florida","0.0117","9-12 years","2023-24, Florida: 9-12 years","Child"
"2023-24","FEB","11256","302005","New York City","0.0373","2-4 years","2023-24, New York City: 2-4 years","Child"
"2023-24","FEB","11714","375524","Arizona","0.0312","9-12 years","2023-24, Arizona: 9-12 years","Child"
"2023-24","FEB","11819","417969","Ohio","0.0283","2-4 years","2023-24, Ohio: 2-4 years","Child"
"2023-24","FEB","12191","222285","Connecticut","0.0548","13-17 years","2023-24, Connecticut: 13-17 years","Child"
"2023-24","FEB","12203","1286583","Puerto Rico","0.0095","18-49 years","2023-24, Puerto Rico: 18-49 years","Adult"
"2023-24","FEB","12226","929182.5","Oklahoma","0.0132","6 months to 17 years","2023-24, Oklahoma: 6 months to 17 years","Child"
"2023-24","FEB","12274","136613","Oregon","0.0898","2-4 years","2023-24, Oregon: 2-4 years","Child"
"2023-24","FEB","12443","423451","New Jersey","0.0294","5-8 years","2023-24, New Jersey: 5-8 years","Child"
"2023-24","FEB","13243","393013","Missouri","0.0337","13-17 years","2023-24, Missouri: 13-17 years","Child"
"2023-24","FEB","13294","1212056","Mississippi","0.011","18-49 years","2023-24, Mississippi: 18-49 years","Adult"
"2023-24","FEB","13484","100594","Minnesota","0.134","6-23 months","2023-24, Minnesota: 6-23 months","Child"
"2023-24","FEB","13505","360714","New York City","0.0374","9-12 years","2023-24, New York City: 9-12 years","Child"
"2023-24","FEB","13551","268337","Utah","0.0505","13-17 years","2023-24, Utah: 13-17 years","Child"
"2023-24","FEB","13792","361410","Pennsylvania","0.0382","2-4 years","2023-24, Pennsylvania (excluding Philadelphia County): 2-4 years","Child"
"2023-24","FEB","13836","385957","New York City","0.0358","5-8 years","2023-24, New York City: 5-8 years","Child"
"2023-24","FEB","14095","434609","New Jersey","0.0324","9-12 years","2023-24, New Jersey: 9-12 years","Child"
"2023-24","FEB","14354","342016","Michigan","0.042","2-4 years","2023-24, Michigan: 2-4 years","Child"
"2023-24","FEB","14548","451792","Indiana","0.0322","13-17 years","2023-24, Indiana: 13-17 years","Child"
"2023-24","FEB","14739","322724","Alaska","0.0457","18-49 years","2023-24, Alaska: 18-49 years","Adult"
"2023-24","FEB","14840","211177","Illinois","0.0703","6-23 months","2023-24, Illinois: 6-23 months","Child"
"2023-24","FEB","15122","105409","District of Columbia","0.1435","50-64 years","2023-24, District of Columbia: 50-64 years","Adult"
"2023-24","FEB","15537","275092","Wisconsin","0.0565","5-8 years","2023-24, Wisconsin: 5-8 years","Child"
"2023-24","FEB","15563","133827","Alaska","0.1163","50-64 years","2023-24, Alaska: 50-64 years","Adult"
"2023-24","FEB","15650","504671","North Carolina","0.031","5-8 years","2023-24, North Carolina: 5-8 years","Child"
"2023-24","FEB","15876","735062","Georgia","0.0216","13-17 years","2023-24, Georgia: 13-17 years","Child"
"2023-24","FEB","15881","124975.5","District of Columbia","0.1271","6 months to 17 years","2023-24, District of Columbia: 6 months to 17 years","Child"
"2023-24","FEB","16065","130824","North Dakota","0.1228","50-64 years","2023-24, North Dakota: 50-64 years","Adult"
"2023-24","FEB","16151","329715","North Dakota","0.049","18-49 years","2023-24, North Dakota: 18-49 years","Adult"
"2023-24","FEB","16332","436260","New York City","0.0374","13-17 years","2023-24, New York City: 13-17 years","Child"
"2023-24","FEB","16603","570423.5","Texas","0.0291","6-23 months","2023-24, Texas: 6-23 months","Child"
"2023-24","FEB","16660","130262.5","Washington","0.1279","6-23 months","2023-24, Washington: 6-23 months","Child"
"2023-24","FEB","16950","352593","South Dakota","0.0481","18-49 years","2023-24, South Dakota: 18-49 years","Adult"
"2023-24","FEB","16974","328538.5","Philadelphia","0.0517","6 months to 17 years","2023-24, Philadelphia: 6 months to 17 years","Child"
"2023-24","FEB","17011","503705","New York State","0.0338","5-8 years","2023-24, New York (excluding New York City): 5-8 years","Child"
"2023-24","FEB","17032","286356","Wisconsin","0.0595","9-12 years","2023-24, Wisconsin: 9-12 years","Child"
"2023-24","FEB","17074","192782","Oregon","0.0886","5-8 years","2023-24, Oregon: 5-8 years","Child"
"2023-24","FEB","17403","569627","Ohio","0.0306","5-8 years","2023-24, Ohio: 5-8 years","Child"
"2023-24","FEB","17680","110501","Vermont","0.16","6 months to 17 years","2023-24, Vermont: 6 months to 17 years","Child"
"2023-24","FEB","18148","690870","West Virginia","0.0263","18-49 years","2023-24, West Virginia: 18-49 years","Adult"
"2023-24","FEB","18266","523493","North Carolina","0.0349","9-12 years","2023-24, North Carolina: 9-12 years","Child"
"2023-24","FEB","18398","198245","Oregon","0.0928","9-12 years","2023-24, Oregon: 9-12 years","Child"
"2023-24","FEB","18711","514913","New York State","0.0363","9-12 years","2023-24, New York (excluding New York City): 9-12 years","Child"
"2023-24","FEB","18788","1219345","Florida","0.0154","13-17 years","2023-24, Florida: 13-17 years","Child"
"2023-24","FEB","20273","572469","Ohio","0.0354","9-12 years","2023-24, Ohio: 9-12 years","Child"
"2023-24","FEB","20409","212202","Minnesota","0.0962","2-4 years","2023-24, Minnesota: 2-4 years","Child"
"2023-24","FEB","20458","242032","Maine","0.0845","6 months to 17 years","2023-24, Maine: 6 months to 17 years","Child"
"2023-24","FEB","20528","467559","Michigan","0.0439","5-8 years","2023-24, Michigan: 5-8 years","Child"
"2023-24","FEB","20542","500397","Pennsylvania","0.0411","5-8 years","2023-24, Pennsylvania (excluding Philadelphia County): 5-8 years","Child"
"2023-24","FEB","20685","164468","South Dakota","0.1258","50-64 years","2023-24, South Dakota: 50-64 years","Adult"
"2023-24","FEB","21000","975661.5","Kentucky","0.0215","6 months to 17 years","2023-24, Kentucky: 6 months to 17 years","Child"
"2023-24","FEB","21395","562524","New Jersey","0.038","13-17 years","2023-24, New Jersey: 13-17 years","Child"
"2023-24","FEB","21971","475421","Michigan","0.0462","9-12 years","2023-24, Michigan: 9-12 years","Child"
"2023-24","FEB","22038","430356","Montana","0.0512","18-49 years","2023-24, Montana: 18-49 years","Adult"
"2023-24","FEB","22587","446316","Illinois","0.0506","2-4 years","2023-24, Illinois: 2-4 years","Child"
"2023-24","FEB","22661","640160","Puerto Rico","0.0354","50-64 years","2023-24, Puerto Rico: 50-64 years","Adult"
"2023-24","FEB","22841","515686","Pennsylvania","0.0443","9-12 years","2023-24, Pennsylvania (excluding Philadelphia County): 9-12 years","Child"
"2023-24","FEB","22868","479456","Arizona","0.0477","13-17 years","2023-24, Arizona: 13-17 years","Child"
"2023-24","FEB","22992","383258","Delaware","0.06","18-49 years","2023-24, Delaware: 18-49 years","Adult"
"2023-24","FEB","23150","1209974","Texas","0.0191","2-4 years","2023-24, Texas: 2-4 years","Child"
"2023-24","FEB","23186","89833","District of Columbia","0.2581","65+ years","2023-24, District of Columbia: 65+ years","Adult"
"2023-24","FEB","23842","461203","New Mexico","0.0517","6 months to 17 years","2023-24, New Mexico: 6 months to 17 years","Child"
"2023-24","FEB","23863","207146","Montana","0.1152","50-64 years","2023-24, Montana: 50-64 years","Adult"
"2023-24","FEB","23999","276460","Washington","0.0868","2-4 years","2023-24, Washington: 2-4 years","Child"
"2023-24","FEB","24055","103776","Wyoming","0.2318","65+ years","2023-24, Wyoming: 65+ years","Adult"
"2023-24","FEB","24073","370797","Wisconsin","0.0649","13-17 years","2023-24, Wisconsin: 13-17 years","Child"
"2023-24","FEB","24297","248705","Oregon","0.0977","13-17 years","2023-24, Oregon: 13-17 years","Child"
"2023-24","FEB","24978","561642","Mississippi","0.0445","50-64 years","2023-24, Mississippi: 50-64 years","Adult"
"2023-24","FEB","25714","1473455.5","Tennessee","0.0175","6 months to 17 years","2023-24, Tennessee: 6 months to 17 years","Child"
"2023-24","FEB","26127","671415","North Carolina","0.0389","13-17 years","2023-24, North Carolina: 13-17 years","Child"
"2023-24","FEB","26690","364081","West Virginia","0.0733","50-64 years","2023-24, West Virginia: 50-64 years","Adult"
"2023-24","FEB","28162","95876","Alaska","0.2937","65+ years","2023-24, Alaska: 65+ years","Adult"
"2023-24","FEB","28404","291284","Minnesota","0.0975","5-8 years","2023-24, Minnesota: 5-8 years","Child"
"2023-24","FEB","28555","678480","New York State","0.0421","13-17 years","2023-24, New York (excluding New York City): 13-17 years","Child"
"2023-24","FEB","28678","742187","Ohio","0.0386","13-17 years","2023-24, Ohio: 13-17 years","Child"
"2023-24","FEB","29037","292636","Minnesota","0.0992","9-12 years","2023-24, Minnesota: 9-12 years","Child"
"2023-24","FEB","29243","624694","Michigan","0.0468","13-17 years","2023-24, Michigan: 13-17 years","Child"
"2023-24","FEB","30134","707072","Iowa","0.0426","6 months to 17 years","2023-24, Iowa: 6 months to 17 years","Child"
"2023-24","FEB","30599","1926749","Louisiana","0.0159","18-49 years","2023-24, Louisiana: 18-49 years","Adult"
"2023-24","FEB","31869","607964","Illinois","0.0524","5-8 years","2023-24, Illinois: 5-8 years","Child"
"2023-24","FEB","31913","676599","Pennsylvania","0.0472","13-17 years","2023-24, Pennsylvania (excluding Philadelphia County): 13-17 years","Child"
"2023-24","FEB","32337","1229950","Arkansas","0.0263","18-49 years","2023-24, Arkansas: 18-49 years","Adult"
"2023-24","FEB","32676","387986","District of Columbia","0.0842","18-49 years","2023-24, District of Columbia: 18-49 years","Adult"
"2023-24","FEB","33209","575908","Hawaii","0.0577","18-49 years","2023-24, Hawaii: 18-49 years","Adult"
"2023-24","FEB","33306","626171","Illinois","0.0532","9-12 years","2023-24, Illinois: 9-12 years","Child"
"2023-24","FEB","33468","377461","Washington","0.0887","5-8 years","2023-24, Washington: 5-8 years","Child"
"2023-24","FEB","33623","1997031","Alabama","0.0168","18-49 years","2023-24, Alabama: 18-49 years","Adult"
"2023-24","FEB","33624","1668393","Texas","0.0202","5-8 years","2023-24, Texas: 5-8 years","Child"
"2023-24","FEB","33733","201301","Delaware","0.1676","50-64 years","2023-24, Delaware: 50-64 years","Adult"
"2023-24","FEB","33813","747775","Idaho","0.0452","18-49 years","2023-24, Idaho: 18-49 years","Adult"
"2023-24","FEB","34547","377798","Washington","0.0914","9-12 years","2023-24, Washington: 9-12 years","Child"
"2023-24","FEB","34657","247935","Vermont","0.1398","18-49 years","2023-24, Vermont: 18-49 years","Adult"
"2023-24","FEB","34668","133652","Vermont","0.2594","50-64 years","2023-24, Vermont: 50-64 years","Adult"
"2023-24","FEB","34857","270072","Philadelphia","0.1291","50-64 years","2023-24, Philadelphia: 50-64 years","Adult"
"2023-24","FEB","35886","1687066","Texas","0.0213","9-12 years","2023-24, Texas: 9-12 years","Child"
"2023-24","FEB","36766","701836","Connecticut","0.0524","6 months to 17 years","2023-24, Connecticut: 6 months to 17 years","Child"
"2023-24","FEB","37016","371308","Minnesota","0.0997","13-17 years","2023-24, Minnesota: 13-17 years","Child"
"2023-24","FEB","38220","322101","Idaho","0.1187","50-64 years","2023-24, Idaho: 50-64 years","Adult"
"2023-24","FEB","38284","905560.5","Utah","0.0423","6 months to 17 years","2023-24, Utah: 6 months to 17 years","Child"
"2023-24","FEB","38977","449237","Wyoming","0.0868","18+ years","2023-24, Wyoming: 18+ years","Adult"
"2023-24","FEB","40895","579166.5","Wyoming","0.0706","Overall","2023-24, Wyoming: Overall","All"
"2023-24","FEB","41442","1335604.5","Missouri","0.031","6 months to 17 years","2023-24, Missouri: 6 months to 17 years","Child"
"2023-24","FEB","42101","2437453.5","Georgia","0.0173","6 months to 17 years","2023-24, Georgia: 6 months to 17 years","Child"
"2023-24","FEB","42456","1526214","Indiana","0.0278","6 months to 17 years","2023-24, Indiana: 6 months to 17 years","Child"
"2023-24","FEB","42669","260200","Hawaii","0.164","50-64 years","2023-24, Hawaii: 50-64 years","Adult"
"2023-24","FEB","43216","123141","North Dakota","0.3509","65+ years","2023-24, North Dakota: 65+ years","Adult"
"2023-24","FEB","43782","460572","Washington","0.0951","13-17 years","2023-24, Washington: 13-17 years","Child"
"2023-24","FEB","44641","4140953","Florida","0.0108","6 months to 17 years","2023-24, Florida: 6 months to 17 years","Child"
"2023-24","FEB","44830","873539","Louisiana","0.0513","50-64 years","2023-24, Louisiana: 50-64 years","Adult"
"2023-24","FEB","45324","816314","Illinois","0.0555","13-17 years","2023-24, Illinois: 13-17 years","Child"
"2023-24","FEB","46120","1661189","Oklahoma","0.0278","18-49 years","2023-24, Oklahoma: 18-49 years","Adult"
"2023-24","FEB","46395","564552","Arkansas","0.0822","50-64 years","2023-24, Arkansas: 50-64 years","Adult"
"2023-24","FEB","47190","507668","Maine","0.093","18-49 years","2023-24, Maine: 18-49 years","Adult"
"2023-24","FEB","49610","672299","California","0.0738","6-23 months","2023-24, California: 6-23 months","Child"
"2023-24","FEB","50412","697429","Puerto Rico","0.0723","65+ years","2023-24, Puerto Rico: 65+ years","Adult"
"2023-24","FEB","53087","1334197","Nevada","0.0398","18-49 years","2023-24, Nevada: 18-49 years","Adult"
"2023-24","FEB","53494","1605718.5","Arizona","0.0333","6 months to 17 years","2023-24, Arizona: 6 months to 17 years","Child"
"2023-24","FEB","56366","962974","Alabama","0.0585","50-64 years","2023-24, Alabama: 50-64 years","Adult"
"2023-24","FEB","56680","300529","Maine","0.1886","50-64 years","2023-24, Maine: 50-64 years","Adult"
"2023-24","FEB","56777","157177","South Dakota","0.3612","65+ years","2023-24, South Dakota: 65+ years","Adult"
"2023-24","FEB","58464","552427","Alaska","0.1058","18+ years","2023-24, Alaska: 18+ years","Adult"
"2023-24","FEB","59815","1884782","New Jersey","0.0317","6 months to 17 years","2023-24, New Jersey: 6 months to 17 years","Child"
"2023-24","FEB","59912","712915","Oklahoma","0.084","50-64 years","2023-24, Oklahoma: 50-64 years","Adult"
"2023-24","FEB","61749","2110766","Texas","0.0293","13-17 years","2023-24, Texas: 13-17 years","Child"
"2023-24","FEB","62692","226967","Philadelphia","0.2762","65+ years","2023-24, Philadelphia: 65+ years","Adult"
"2023-24","FEB","62791","1640786","New York City","0.0383","6 months to 17 years","2023-24, New York City: 6 months to 17 years","Child"
"2023-24","FEB","64351","857079","New Mexico","0.0751","18-49 years","2023-24, New Mexico: 18-49 years","Adult"
"2023-24","FEB","64961","742696","Philadelphia","0.0875","18-49 years","2023-24, Philadelphia: 18-49 years","Adult"
"2023-24","FEB","65208","726305","Alaska","0.0898","Overall","2023-24, Alaska: Overall","All"
"2023-24","FEB","65281","587166","Nevada","0.1112","50-64 years","2023-24, Nevada: 50-64 years","Adult"
"2023-24","FEB","65836","128594","Vermont","0.512","65+ years","2023-24, Vermont: 65+ years","Adult"
"2023-24","FEB","67491","499955","Mississippi","0.135","65+ years","2023-24, Mississippi: 65+ years","Adult"
"2023-24","FEB","68590","213392","Montana","0.3214","65+ years","2023-24, Montana: 65+ years","Adult"
"2023-24","FEB","68922","1414649","California","0.0487","2-4 years","2023-24, California: 2-4 years","Child"
"2023-24","FEB","70984","583228","District of Columbia","0.1217","18+ years","2023-24, District of Columbia: 18+ years","Adult"
"2023-24","FEB","72297","386838","New Mexico","0.1869","50-64 years","2023-24, New Mexico: 50-64 years","Adult"
"2023-24","FEB","72608","1829101","Kentucky","0.0397","18-49 years","2023-24, Kentucky: 18-49 years","Adult"
"2023-24","FEB","74632","1227144.5","Wisconsin","0.0608","6 months to 17 years","2023-24, Wisconsin: 6 months to 17 years","Child"
"2023-24","FEB","75432","583680","North Dakota","0.1292","18+ years","2023-24, North Dakota: 18+ years","Adult"
"2023-24","FEB","75889","460217","Utah","0.1649","50-64 years","2023-24, Utah: 50-64 years","Adult"
"2023-24","FEB","76746","373569","West Virginia","0.2054","65+ years","2023-24, West Virginia: 65+ years","Adult"
"2023-24","FEB","77888","2247245.5","North Carolina","0.0347","6 months to 17 years","2023-24, North Carolina: 6 months to 17 years","Child"
"2023-24","FEB","80504","1278429","Iowa","0.063","18-49 years","2023-24, Iowa: 18-49 years","Adult"
"2023-24","FEB","81884","2237082","New York State","0.0366","6 months to 17 years","2023-24, New York (excluding New York City): 6 months to 17 years","Child"
"2023-24","FEB","82268","197594","Delaware","0.4163","65+ years","2023-24, Delaware: 65+ years","Adult"
"2023-24","FEB","82465","839769","Oregon","0.0982","6 months to 17 years","2023-24, Oregon: 6 months to 17 years","Child"
"2023-24","FEB","82703","760079.5","North Dakota","0.1088","Overall","2023-24, North Dakota: Overall","All"
"2023-24","FEB","85276","2624172","Puerto Rico","0.0325","18+ years","2023-24, Puerto Rico: 18+ years","Adult"
"2023-24","FEB","86016","2502483","Ohio","0.0344","6 months to 17 years","2023-24, Ohio: 6 months to 17 years","Child"
"2023-24","FEB","86557","3177862.5","Puerto Rico","0.0272","Overall","2023-24, Puerto Rico: Overall","All"
"2023-24","FEB","86865","708203.5","District of Columbia","0.1227","Overall","2023-24, District of Columbia: Overall","All"
"2023-24","FEB","89519","875398","Kentucky","0.1023","50-64 years","2023-24, Kentucky: 50-64 years","Adult"
"2023-24","FEB","91406","275080","Hawaii","0.3323","65+ years","2023-24, Hawaii: 65+ years","Adult"
"2023-24","FEB","91805","2857609","Tennessee","0.0321","18-49 years","2023-24, Tennessee: 18-49 years","Adult"
"2023-24","FEB","92651","593437","Iowa","0.1561","50-64 years","2023-24, Iowa: 50-64 years","Adult"
"2023-24","FEB","94412","674238","South Dakota","0.14","18+ years","2023-24, South Dakota: 18+ years","Adult"
"2023-24","FEB","95685","2072888.5","Michigan","0.0462","6 months to 17 years","2023-24, Michigan: 6 months to 17 years","Child"
"2023-24","FEB","96136","305994","Idaho","0.3142","65+ years","2023-24, Idaho: 65+ years","Adult"
"2023-24","FEB","98528","2225691","Pennsylvania","0.0443","6 months to 17 years","2023-24, Pennsylvania (excluding Philadelphia County): 6 months to 17 years","Child"
"2023-24","FEB","99495","1966287","California","0.0506","5-8 years","2023-24, California: 5-8 years","Child"
"2023-24","FEB","101931","886812","South Dakota","0.1149","Overall","2023-24, South Dakota: Overall","All"
"2023-24","FEB","104972","1478793","Utah","0.071","18-49 years","2023-24, Utah: 18-49 years","Adult"
"2023-24","FEB","105763","2273653","Mississippi","0.0465","18+ years","2023-24, Mississippi: 18+ years","Adult"
"2023-24","FEB","108861","2949076.5","Mississippi","0.0369","Overall","2023-24, Mississippi: Overall","All"
"2023-24","FEB","112143","1991746","California","0.0563","9-12 years","2023-24, California: 9-12 years","Child"
"2023-24","FEB","112895","1335281","Tennessee","0.0845","50-64 years","2023-24, Tennessee: 50-64 years","Adult"
"2023-24","FEB","113904","763750","Louisiana","0.1491","65+ years","2023-24, Louisiana: 65+ years","Adult"
"2023-24","FEB","114491","850894","Montana","0.1346","18+ years","2023-24, Montana: 18+ years","Adult"
"2023-24","FEB","115998","3079500","Arizona","0.0377","18-49 years","2023-24, Arizona: 18-49 years","Adult"
"2023-24","FEB","117037","1433821","Connecticut","0.0816","18-49 years","2023-24, Connecticut: 18-49 years","Adult"
"2023-24","FEB","120222","2794631","Indiana","0.043","18-49 years","2023-24, Indiana: 18-49 years","Adult"
"2023-24","FEB","121584","1428520","West Virginia","0.0851","18+ years","2023-24, West Virginia: 18+ years","Adult"
"2023-24","FEB","122201","1074894.5","Montana","0.1137","Overall","2023-24, Montana: Overall","All"
"2023-24","FEB","124932","1776063.5","West Virginia","0.0703","Overall","2023-24, West Virginia: Overall","All"
"2023-24","FEB","125252","536306","Arkansas","0.2335","65+ years","2023-24, Arkansas: 65+ years","Adult"
"2023-24","FEB","126695","2499695","Missouri","0.0507","18-49 years","2023-24, Missouri: 18-49 years","Adult"
"2023-24","FEB","128350","1268024","Minnesota","0.1012","6 months to 17 years","2023-24, Minnesota: 6 months to 17 years","Child"
"2023-24","FEB","131981","1321503","Arizona","0.0999","50-64 years","2023-24, Arizona: 50-64 years","Adult"
"2023-24","FEB","135161","510181","Vermont","0.2649","18+ years","2023-24, Vermont: 18+ years","Adult"
"2023-24","FEB","135207","758237","Connecticut","0.1783","50-64 years","2023-24, Connecticut: 50-64 years","Adult"
"2023-24","FEB","136175","293776","Maine","0.4635","65+ years","2023-24, Maine: 65+ years","Adult"
"2023-24","FEB","138993","782153","Delaware","0.1777","18+ years","2023-24, Delaware: 18+ years","Adult"
"2023-24","FEB","139426","519316","Nevada","0.2685","65+ years","2023-24, Nevada: 65+ years","Adult"
"2023-24","FEB","141208","874244","Alabama","0.1615","65+ years","2023-24, Alabama: 65+ years","Adult"
"2023-24","FEB","142808","1278598","Indiana","0.1117","50-64 years","2023-24, Indiana: 50-64 years","Adult"
"2023-24","FEB","143581","1190710","Missouri","0.1206","50-64 years","2023-24, Missouri: 50-64 years","Adult"
"2023-24","FEB","144384","381593","Utah","0.3784","65+ years","2023-24, Utah: 65+ years","Adult"
"2023-24","FEB","146244","981560.5","Delaware","0.149","Overall","2023-24, Delaware: Overall","All"
"2023-24","FEB","147926","2707942","Illinois","0.0546","6 months to 17 years","2023-24, Illinois: 6 months to 17 years","Child"
"2023-24","FEB","149470","389911","New Mexico","0.3833","65+ years","2023-24, New Mexico: 65+ years","Adult"
"2023-24","FEB","151774","1498072","New York City","0.1013","50-64 years","2023-24, New York City: 50-64 years","Adult"
"2023-24","FEB","152456","1622553.5","Washington","0.094","6 months to 17 years","2023-24, Washington: 6 months to 17 years","Child"
"2023-24","FEB","152841","620682","Vermont","0.2462","Overall","2023-24, Vermont: Overall","All"
"2023-24","FEB","153972","4619939","Georgia","0.0333","18-49 years","2023-24, Georgia: 18-49 years","Adult"
"2023-24","FEB","154769","653159","Oklahoma","0.237","65+ years","2023-24, Oklahoma: 65+ years","Adult"
"2023-24","FEB","158262","2522821","California","0.0627","13-17 years","2023-24, California: 13-17 years","Child"
"2023-24","FEB","162510","1239735","Philadelphia","0.1311","18+ years","2023-24, Philadelphia: 18+ years","Adult"
"2023-24","FEB","165754","784957","Oregon","0.2112","50-64 years","2023-24, Oregon: 50-64 years","Adult"
"2023-24","FEB","167284","1111188","Hawaii","0.1505","18+ years","2023-24, Hawaii: 18+ years","Adult"
"2023-24","FEB","168169","1375870","Idaho","0.1222","18+ years","2023-24, Idaho: 18+ years","Adult"
"2023-24","FEB","171012","7246622.5","Texas","0.0236","6 months to 17 years","2023-24, Texas: 6 months to 17 years","Child"
"2023-24","FEB","177133","2015461","Georgia","0.0879","50-64 years","2023-24, Georgia: 50-64 years","Adult"
"2023-24","FEB","177650","1398884","Hawaii","0.127","Overall","2023-24, Hawaii: Overall","All"
"2023-24","FEB","177841","1816139.5","Idaho","0.0979","Overall","2023-24, Idaho: Overall","All"
"2023-24","FEB","179484","1568273.5","Philadelphia","0.1144","Overall","2023-24, Philadelphia: Overall","All"
"2023-24","FEB","189333","3564038","Louisiana","0.0531","18+ years","2023-24, Louisiana: 18+ years","Adult"
"2023-24","FEB","195934","4616751","Louisiana","0.0424","Overall","2023-24, Louisiana: Overall","All"
"2023-24","FEB","203984","2330808","Arkansas","0.0875","18+ years","2023-24, Arkansas: 18+ years","Adult"
"2023-24","FEB","205862","2341888","Wisconsin","0.0879","18-49 years","2023-24, Wisconsin: 18-49 years","Adult"
"2023-24","FEB","206365","770835","Kentucky","0.2677","65+ years","2023-24, Kentucky: 65+ years","Adult"
"2023-24","FEB","207659","3608589","New Jersey","0.0575","18-49 years","2023-24, New Jersey: 18-49 years","Adult"
"2023-24","FEB","209115","1184308","Wisconsin","0.1766","50-64 years","2023-24, Wisconsin: 50-64 years","Adult"
"2023-24","FEB","212064","3012504.5","Arkansas","0.0704","Overall","2023-24, Arkansas: Overall","All"
"2023-24","FEB","213168","4423448","North Carolina","0.0482","18-49 years","2023-24, North Carolina: 18-49 years","Adult"
"2023-24","FEB","216226","1829219","New Jersey","0.1182","50-64 years","2023-24, New Jersey: 50-64 years","Adult"
"2023-24","FEB","217637","1806245","Oregon","0.1205","18-49 years","2023-24, Oregon: 18-49 years","Adult"
"2023-24","FEB","231197","3834249","Alabama","0.0603","18+ years","2023-24, Alabama: 18+ years","Adult"
"2023-24","FEB","231377","8532850","Florida","0.0271","18-49 years","2023-24, Florida: 18-49 years","Adult"
"2023-24","FEB","237700","566136","Iowa","0.4199","65+ years","2023-24, Iowa: 65+ years","Adult"
"2023-24","FEB","238292","4893409","Alabama","0.0487","Overall","2023-24, Alabama: Overall","All"
"2023-24","FEB","238465","4391080","New York State","0.0543","18-49 years","2023-24, New York (excluding New York City): 18-49 years","Adult"
"2023-24","FEB","240045","1101973","Maine","0.2178","18+ years","2023-24, Maine: 18+ years","Adult"
"2023-24","FEB","245334","2056433","North Carolina","0.1193","50-64 years","2023-24, North Carolina: 50-64 years","Adult"
"2023-24","FEB","253770","4006528","Michigan","0.0633","18-49 years","2023-24, Michigan: 18-49 years","Adult"
"2023-24","FEB","254540","4712462","Ohio","0.054","18-49 years","2023-24, Ohio: 18-49 years","Adult"
"2023-24","FEB","254719","1308751","New York City","0.1946","65+ years","2023-24, New York City: 65+ years","Adult"
"2023-24","FEB","254936","1091861","Minnesota","0.2335","50-64 years","2023-24, Minnesota: 50-64 years","Adult"
"2023-24","FEB","257794","2440679","Nevada","0.1056","18+ years","2023-24, Nevada: 18+ years","Adult"
