"current_season","Month","Numerator","Population","Jurisdiction","Estimate","Age_group_label","Legend","Child or adult"
"2023-24","APR",,,"New Hampshire",,"18+ years","2023-24, New Hampshire: 18+ years","Adult"
"2023-24","APR",,,"New Hampshire",,"18-49 years","2023-24, New Hampshire: 18-49 years","Adult"
"2023-24","APR",,,"New Hampshire",,"2-4 years","2023-24, New Hampshire: 2-4 years","Child"
"2023-24","APR",,,"New Hampshire",,"5-8 years","2023-24, New Hampshire: 5-8 years","Child"
"2023-24","APR",,,"New Hampshire",,"50-64 years","2023-24, New Hampshire: 50-64 years","Adult"
"2023-24","APR",,,"New Hampshire",,"6 months to 17 years","2023-24, New Hampshire: 6 months to 17 years","Child"
"2023-24","APR",,,"New Hampshire",,"6-23 months","2023-24, New Hampshire: 6-23 months","Child"
"2023-24","APR",,,"New Hampshire",,"65+ years","2023-24, New Hampshire: 65+ years","Adult"
"2023-24","APR",,,"New Hampshire",,"9-12 years","2023-24, New Hampshire: 9-12 years","Child"
"2023-24","APR",,,"New Hampshire",,"Overall","2023-24, New Hampshire: Overall","All"
"2023-24","APR",,,"North Carolina",,"13-17 years","2023-24, North Carolina: 13-17 years","Child"
"2023-24","APR",,,"North Carolina",,"18+ years","2023-24, North Carolina: 18+ years","Adult"
"2023-24","APR",,,"North Carolina",,"18-49 years","2023-24, North Carolina: 18-49 years","Adult"
"2023-24","APR",,,"North Carolina",,"2-4 years","2023-24, North Carolina: 2-4 years","Child"
"2023-24","APR",,,"North Carolina",,"5-8 years","2023-24, North Carolina: 5-8 years","Child"
"2023-24","APR",,,"North Carolina",,"50-64 years","2023-24, North Carolina: 50-64 years","Adult"
"2023-24","APR",,,"North Carolina",,"6 months to 17 years","2023-24, North Carolina: 6 months to 17 years","Child"
"2023-24","APR",,,"North Carolina",,"6-23 months","2023-24, North Carolina: 6-23 months","Child"
"2023-24","APR",,,"North Carolina",,"65+ years","2023-24, North Carolina: 65+ years","Adult"
"2023-24","APR",,,"North Carolina",,"9-12 years","2023-24, North Carolina: 9-12 years","Child"
"2023-24","APR",,,"North Carolina",,"Overall","2023-24, North Carolina: Overall","All"
"2023-24","APR",,,"Rhode Island",,"13-17 years","2023-24, Rhode Island: 13-17 years","Child"
"2023-24","APR",,,"Rhode Island",,"18+ years","2023-24, Rhode Island: 18+ years","Adult"
"2023-24","APR",,,"Rhode Island",,"18-49 years","2023-24, Rhode Island: 18-49 years","Adult"
"2023-24","APR",,,"Rhode Island",,"2-4 years","2023-24, Rhode Island: 2-4 years","Child"
"2023-24","APR",,,"Rhode Island",,"5-8 years","2023-24, Rhode Island: 5-8 years","Child"
"2023-24","APR",,,"Rhode Island",,"50-64 years","2023-24, Rhode Island: 50-64 years","Adult"
"2023-24","APR",,,"Rhode Island",,"6 months to 17 years","2023-24, Rhode Island: 6 months to 17 years","Child"
"2023-24","APR",,,"Rhode Island",,"6-23 months","2023-24, Rhode Island: 6-23 months","Child"
"2023-24","APR",,,"Rhode Island",,"65+ years","2023-24, Rhode Island: 65+ years","Adult"
"2023-24","APR",,,"Rhode Island",,"9-12 years","2023-24, Rhode Island: 9-12 years","Child"
"2023-24","APR",,,"Rhode Island",,"Overall","2023-24, Rhode Island: Overall","All"
"2023-24","APR",,,"South Carolina",,"13-17 years","2023-24, South Carolina: 13-17 years","Child"
"2023-24","APR",,,"South Carolina",,"18+ years","2023-24, South Carolina: 18+ years","Adult"
"2023-24","APR",,,"South Carolina",,"18-49 years","2023-24, South Carolina: 18-49 years","Adult"
"2023-24","APR",,,"South Carolina",,"2-4 years","2023-24, South Carolina: 2-4 years","Child"
"2023-24","APR",,,"South Carolina",,"5-8 years","2023-24, South Carolina: 5-8 years","Child"
"2023-24","APR",,,"South Carolina",,"50-64 years","2023-24, South Carolina: 50-64 years","Adult"
"2023-24","APR",,,"South Carolina",,"6 months to 17 years","2023-24, South Carolina: 6 months to 17 years","Child"
"2023-24","APR",,,"South Carolina",,"6-23 months","2023-24, South Carolina: 6-23 months","Child"
"2023-24","APR",,,"South Carolina",,"65+ years","2023-24, South Carolina: 65+ years","Adult"
"2023-24","APR",,,"South Carolina",,"9-12 years","2023-24, South Carolina: 9-12 years","Child"
"2023-24","APR",,,"South Carolina",,"Overall","2023-24, South Carolina: Overall","All"
"2023-24","APR",,,"Virginia",,"13-17 years","2023-24, Virginia: 13-17 years","Child"
"2023-24","APR",,,"Virginia",,"18+ years","2023-24, Virginia: 18+ years","Adult"
"2023-24","APR",,,"Virginia",,"18-49 years","2023-24, Virginia: 18-49 years","Adult"
"2023-24","APR",,,"Virginia",,"2-4 years","2023-24, Virginia: 2-4 years","Child"
"2023-24","APR",,,"Virginia",,"5-8 years","2023-24, Virginia: 5-8 years","Child"
"2023-24","APR",,,"Virginia",,"50-64 years","2023-24, Virginia: 50-64 years","Adult"
"2023-24","APR",,,"Virginia",,"6 months to 17 years","2023-24, Virginia: 6 months to 17 years","Child"
"2023-24","APR",,,"Virginia",,"6-23 months","2023-24, Virginia: 6-23 months","Child"
"2023-24","APR",,,"Virginia",,"65+ years","2023-24, Virginia: 65+ years","Adult"
"2023-24","APR",,,"Virginia",,"9-12 years","2023-24, Virginia: 9-12 years","Child"
"2023-24","APR",,,"Virginia",,"Overall","2023-24, Virginia: Overall","All"
"2023-24","APR","0","355.5","Republic of Palau","0","6-23 months","2023-24, Republic of Palau: 6-23 months","Child"
"2023-24","APR","0","684","Republic of Palau","0","2-4 years","2023-24, Republic of Palau: 2-4 years","Child"
"2023-24","APR","0","928","Republic of Palau","0","5-8 years","2023-24, Republic of Palau: 5-8 years","Child"
"2023-24","APR","1","1258.5","American Samoa","0.0008","6-23 months","2023-24, American Samoa: 6-23 months","Child"
"2023-24","APR","1","3278","American Samoa","0.0003","65+ years","2023-24, American Samoa: 65+ years","Adult"
"2023-24","APR","1","3546","American Samoa","0.0003","9-12 years","2023-24, American Samoa: 9-12 years","Child"
"2023-24","APR","1","4073","U.S. Virgin Islands ","0.0002","2-4 years","2023-24, U.S. Virgin Islands : 2-4 years","Child"
"2023-24","APR","1","4748","American Samoa","0.0002","13-17 years","2023-24, American Samoa: 13-17 years","Child"
"2023-24","APR","1","5553","U.S. Virgin Islands ","0.0002","5-8 years","2023-24, U.S. Virgin Islands : 5-8 years","Child"
"2023-24","APR","2","1099","Republic of Palau","0.0018","9-12 years","2023-24, Republic of Palau: 9-12 years","Child"
"2023-24","APR","2","1951","U.S. Virgin Islands ","0.001","6-23 months","2023-24, U.S. Virgin Islands : 6-23 months","Child"
"2023-24","APR","2","3481","American Samoa","0.0006","5-8 years","2023-24, American Samoa: 5-8 years","Child"
"2023-24","APR","2","6226","U.S. Virgin Islands ","0.0003","9-12 years","2023-24, U.S. Virgin Islands : 9-12 years","Child"
"2023-24","APR","3","2608","American Samoa","0.0012","2-4 years","2023-24, American Samoa: 2-4 years","Child"
"2023-24","APR","3","7639","American Samoa","0.0004","50-64 years","2023-24, American Samoa: 50-64 years","Adult"
"2023-24","APR","3","20418","American Samoa","0.0001","18-49 years","2023-24, American Samoa: 18-49 years","Adult"
"2023-24","APR","4","13771","Guam","0.0003","13-17 years","2023-24, Guam: 13-17 years","Child"
"2023-24","APR","7","5080","Marshall Islands","0.0014","2-4 years","2023-24, Marshall Islands: 2-4 years","Child"
"2023-24","APR","7","6338","U.S. Virgin Islands ","0.0011","13-17 years","2023-24, U.S. Virgin Islands : 13-17 years","Child"
"2023-24","APR","7","31335","American Samoa","0.0002","18+ years","2023-24, American Samoa: 18+ years","Adult"
"2023-24","APR","8","15641.5","American Samoa","0.0005","6 months to 17 years","2023-24, American Samoa: 6 months to 17 years","Child"
"2023-24","APR","10","1763","Republic of Palau","0.0057","13-17 years","2023-24, Republic of Palau: 13-17 years","Child"
"2023-24","APR","10","11986","Guam","0.0008","9-12 years","2023-24, Guam: 9-12 years","Child"
"2023-24","APR","12","4829.5","Republic of Palau","0.0025","6 months to 17 years","2023-24, Republic of Palau: 6 months to 17 years","Child"
"2023-24","APR","13","24141","U.S. Virgin Islands ","0.0005","6 months to 17 years","2023-24, U.S. Virgin Islands : 6 months to 17 years","Child"
"2023-24","APR","15","3732","Marshall Islands","0.004","65+ years","2023-24, Marshall Islands: 65+ years","Adult"
"2023-24","APR","15","46976.5","American Samoa","0.0003","Overall","2023-24, American Samoa: Overall","All"
"2023-24","APR","16","4712","Guam","0.0034","6-23 months","2023-24, Guam: 6-23 months","Child"
"2023-24","APR","16","9444","Guam","0.0017","2-4 years","2023-24, Guam: 2-4 years","Child"
"2023-24","APR","16","12460","Guam","0.0013","5-8 years","2023-24, Guam: 5-8 years","Child"
"2023-24","APR","17","6780","Marshall Islands","0.0025","9-12 years","2023-24, Marshall Islands: 9-12 years","Child"
"2023-24","APR","19","6738","Marshall Islands","0.0028","5-8 years","2023-24, Marshall Islands: 5-8 years","Child"
"2023-24","APR","24","8151","Marshall Islands","0.0029","13-17 years","2023-24, Marshall Islands: 13-17 years","Child"
"2023-24","APR","34","7700","Marshall Islands","0.0044","50-64 years","2023-24, Marshall Islands: 50-64 years","Adult"
