Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Novavax,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_5Plus,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_5Plus,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Novavax,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_5Plus,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Novavax,Series_Complete_Unk_Manuf,Series_Complete_Janssen_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Unk_Manuf_5Plus,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_5Plus,Additional_Doses_5Plus_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Second_Booster,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,Second_Booster_Janssen,Second_Booster_Moderna,Second_Booster_Pfizer,Second_Booster_Unk_Manuf,Administered_Bivalent,Admin_Bivalent_PFR,Admin_Bivalent_MOD,Dist_Bivalent_PFR,Dist_Bivalent_MOD,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
08/24/2021,34,SD,1047165,59400,465180,522585,,0,118369,0,141873,156865,689510,885107,0,885074,835974,265922,30007,373272,481791,,37,100051,0,119912,125229,175097,888784,488651,55.2,0,0,488615,66.2,459189,68.8,141709,93.3,428402,48.4,0,0,428390,58,409018,61.3,132443,87.2,30091,177231,221062,,18,,,,,30089,177229,221054,18,30071,177181,201748,18,4154,68053,60225,11,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
08/24/2021,34,WY,568995,34000,270860,264135,,0,98313,0,115951,127857,573705,469707,0,469672,448922,150237,20738,216931,231795,,243,81158,0,95711,100876,151481,462179,256990,44.4,0,0,256955,52.4,244542,55,79976,80.6,220359,38.1,0,0,220351,44.9,212141,47.7,73950,74.6,19628,96516,104154,,61,,,,,19626,96516,104148,61,19615,96498,95967,61,3216,37992,32717,25,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
08/24/2021,34,US,428529385,21484400,174711680,232313955,,19350,129077,0,151132,165930,783466,363915792,0,363560092,341306132,94186252,14160458,143785747,205626564,,343023,109614,0,128219,132156,171768,363915792,202041893,60.9,0,0,201814781,71.2,189079986,73.2,50032561,91.2,171367657,51.6,0,0,171236408,60.4,161646180,62.6,44437665,81,13983009,64897947,92391254,,95447,,,,,13980155,64894161,92266697,95395,13872672,64445866,83233806,93836,2186185,21065316,21144642,41522,512401,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
08/24/2021,34,PA,17370885,1060700,7390420,8919765,,0,135689,0,156755,170849,725794,15190103,0,15185291,14347945,4526616,609927,6168837,8410691,,648,118654,0,137032,141117,189132,15212411,8766124,68.5,0,0,8762723,79.1,8271768,81.4,2523076,99.9,6962263,54.4,0,0,6960809,62.8,6620931,65.1,2043116,85.4,612544,2687236,3662070,,413,,,,,612495,2687100,3660801,413,612144,2685200,3323200,387,82561,965429,994930,196,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
08/24/2021,34,BP2,223500,10600,93560,119340,,0,0,0,0,0,0,209641,0,209640,209640,6580,10283,85441,113917,,0,0,0,0,0,0,209641,115532,0,0,0,115531,0,115531,0,3460,0,103129,0,0,0,103129,0,103129,0,3220,0,10249,39978,52902,,0,,,,,10249,39978,52902,0,10249,39978,52902,0,142,1544,1534,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
08/24/2021,34,ND,779120,36500,327600,415020,,0,102238,0,122264,133894,650106,686971,0,685931,654450,196721,30466,285260,371245,,0,90146,0,107640,112470,164146,655319,362019,47.5,0,0,361404,56.7,344189,59.2,101680,84.8,313745,41.2,0,0,313399,49.2,301170,51.8,90394,75.4,27598,126985,159161,,1,,,,,27595,126980,158823,1,27471,126793,146905,1,3662,44612,42120,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
08/24/2021,34,SC,6069605,313300,2624860,3131445,,0,117886,0,137322,150330,647754,4701997,0,4694151,4478284,1542176,168447,1879338,2653124,,1088,91324,0,106203,110916,164583,4681228,2601795,50.5,0,0,2596871,58.8,2467418,61.1,822121,87.7,2187563,42.5,0,0,2184711,49.4,2096612,51.9,732197,78.1,165595,821795,1199914,,259,,,,,165551,821709,1197192,259,165020,819935,1111400,257,27160,312248,392623,166,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
08/24/2021,34,GA,12743865,599200,5330000,6814665,,0,120028,0,141786,157069,840096,9518650,0,9516387,9003457,2475581,253718,3925567,5334062,,5303,89651,0,105878,110968,163194,9535959,5298249,49.9,0,0,5296236,58.9,4978700,61.4,1281862,84.5,4293478,40.4,0,0,4293079,47.8,4094999,50.5,1112797,73.4,252164,1723106,2316379,,1829,,,,,252068,1723061,2316124,1826,251787,1722487,2119009,1716,30505,613957,467494,841,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
08/24/2021,34,OR,6038845,310200,2478040,3250605,,0,143177,0,165549,180201,788279,4906981,0,4892983,4596333,1282136,198464,1893161,2812079,,3277,116342,0,134136,137156,167363,4925421,2662357,63.1,0,0,2654304,72.8,2492679,74.4,681961,89,2423556,57.5,0,0,2417832,66.3,2282786,68.1,645622,84.3,195981,893175,1333681,,719,,,,,195979,893171,1327964,718,195202,890411,1196488,685,47538,293017,304734,333,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
08/24/2021,34,MP,78180,2600,20200,55380,,0,137442,0,160944,176463,811164,65704,0,65704,58142,5595,691,8797,56216,,0,115509,0,135260,131234,58051,65769,34585,60.8,0,0,34585,71.2,30412,68.6,2867,29.7,31791,55.9,0,0,31791,65.4,28399,64.1,2801,29.1,694,4122,26975,,0,,,,,694,4122,26975,0,694,4121,23584,0,81,449,2271,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
