system:index,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,date,mean,system:time_start,.geo
5_00000000000000000671,1467017476,21098128,29620,H1,037,01622961,330,A,26037,+42.9504550,-084.5916949,06,,G4020,Clinton,Clinton County,26,2021-12-06,80.72231025871793,1638748800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000672,1440364339,11878075,29620,H1,065,01622975,330,A,26065,+42.6035338,-084.3738107,06,,G4020,Ingham,Ingham County,26,2021-12-06,81.14845028127176,1638748800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000673,1489766542,10958773,29620,H1,045,01622965,330,A,26045,+42.5895301,-084.8464499,06,,G4020,Eaton,Eaton County,26,2021-12-06,81.24849752922789,1638748800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000872,1828460768,42602260,11460,H1,161,01623021,220,A,26161,+42.2522168,-083.8434233,06,,G4020,Washtenaw,Washtenaw County,26,2021-12-06,79.96752213609906,1638748800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000879,1649727711,32694965,22420,H1,049,01622967,220,A,26049,+43.0210768,-083.7063718,06,,G4020,Genesee,Genesee County,26,2021-12-06,81.56257424794907,1638748800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000671,1467017476,21098128,29620,H1,037,01622961,330,A,26037,+42.9504550,-084.5916949,06,,G4020,Clinton,Clinton County,26,2021-12-07,50.67605560829107,1638835200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000672,1440364339,11878075,29620,H1,065,01622975,330,A,26065,+42.6035338,-084.3738107,06,,G4020,Ingham,Ingham County,26,2021-12-07,51.135702474766425,1638835200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000673,1489766542,10958773,29620,H1,045,01622965,330,A,26045,+42.5895301,-084.8464499,06,,G4020,Eaton,Eaton County,26,2021-12-07,51.661047455162155,1638835200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000872,1828460768,42602260,11460,H1,161,01623021,220,A,26161,+42.2522168,-083.8434233,06,,G4020,Washtenaw,Washtenaw County,26,2021-12-07,50.341234153931424,1638835200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000879,1649727711,32694965,22420,H1,049,01622967,220,A,26049,+43.0210768,-083.7063718,06,,G4020,Genesee,Genesee County,26,2021-12-07,49.961130097649864,1638835200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
