system:index,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,date,mean,system:time_start,.geo
2_00000000000000000825,1147779363,36698376,18140,H1,041,01074033,198,A,39041,+40.2789411,-083.0074622,06,,G4020,Delaware,Delaware County,39,2021-12-03,71.85859852009085,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000826,1051881046,2819351,18140,H1,117,01074071,198,A,39117,+40.5252659,-082.7977288,06,,G4020,Morrow,Morrow County,39,2021-12-03,76.55978118779285,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000827,1056544342,11790392,18140,H1,127,01074076,198,A,39127,+39.7431874,-082.2379525,06,,G4020,Perry,Perry County,39,2021-12-03,67.52919304088792,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000828,1118226926,13266460,18140,H1,159,01074091,198,A,39159,+40.2959008,-083.3670416,06,,G4020,Union,Union County,39,2021-12-03,71.62949287530496,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000829,1306415009,10754493,18140,H1,045,01074035,198,A,39045,+39.7476940,-082.6266850,06,,G4020,Fairfield,Fairfield County,39,2021-12-03,67.10991015874713,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000082a,1767505133,12752911,18140,H1,089,01074057,198,A,39089,+40.0915047,-082.4834352,06,,G4020,Licking,Licking County,39,2021-12-03,70.32045226620193,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000082b,1206498201,2066974,18140,H1,097,01074061,198,A,39097,+39.8966074,-083.4008847,06,,G4020,Madison,Madison County,39,2021-12-03,67.95286474366978,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000082c,1378944435,29034069,18140,H1,049,01074037,198,A,39049,+39.9698749,-083.0090858,06,,G4020,Franklin,Franklin County,39,2021-12-03,68.1832497052986,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000823,1298196084,13769343,18140,H1,129,01074077,198,A,39129,+39.6489470,-083.0528267,06,,G4020,Pickaway,Pickaway County,39,2021-12-04,74.37802450769921,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000824,1091232036,5959241,18140,H1,073,01074049,198,A,39073,+39.4903424,-082.4834473,06,,G4020,Hocking,Hocking County,39,2021-12-04,70.8508029897843,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000825,1147779363,36698376,18140,H1,041,01074033,198,A,39041,+40.2789411,-083.0074622,06,,G4020,Delaware,Delaware County,39,2021-12-04,76.33951445774177,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000826,1051881046,2819351,18140,H1,117,01074071,198,A,39117,+40.5252659,-082.7977288,06,,G4020,Morrow,Morrow County,39,2021-12-04,78.25290148037848,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000827,1056544342,11790392,18140,H1,127,01074076,198,A,39127,+39.7431874,-082.2379525,06,,G4020,Perry,Perry County,39,2021-12-04,73.37048376979,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000828,1118226926,13266460,18140,H1,159,01074091,198,A,39159,+40.2959008,-083.3670416,06,,G4020,Union,Union County,39,2021-12-04,76.4831776721435,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000829,1306415009,10754493,18140,H1,045,01074035,198,A,39045,+39.7476940,-082.6266850,06,,G4020,Fairfield,Fairfield County,39,2021-12-04,74.90762133338221,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000082a,1767505133,12752911,18140,H1,089,01074057,198,A,39089,+40.0915047,-082.4834352,06,,G4020,Licking,Licking County,39,2021-12-04,75.46030758304738,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000082b,1206498201,2066974,18140,H1,097,01074061,198,A,39097,+39.8966074,-083.4008847,06,,G4020,Madison,Madison County,39,2021-12-04,74.35832267632237,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000082c,1378944435,29034069,18140,H1,049,01074037,198,A,39049,+39.9698749,-083.0090858,06,,G4020,Franklin,Franklin County,39,2021-12-04,75.03682383002773,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000823,1298196084,13769343,18140,H1,129,01074077,198,A,39129,+39.6489470,-083.0528267,06,,G4020,Pickaway,Pickaway County,39,2021-12-05,66.30700731930796,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000824,1091232036,5959241,18140,H1,073,01074049,198,A,39073,+39.4903424,-082.4834473,06,,G4020,Hocking,Hocking County,39,2021-12-05,65.16805067364572,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000825,1147779363,36698376,18140,H1,041,01074033,198,A,39041,+40.2789411,-083.0074622,06,,G4020,Delaware,Delaware County,39,2021-12-05,62.064681420020484,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000826,1051881046,2819351,18140,H1,117,01074071,198,A,39117,+40.5252659,-082.7977288,06,,G4020,Morrow,Morrow County,39,2021-12-05,60.94929642036284,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000827,1056544342,11790392,18140,H1,127,01074076,198,A,39127,+39.7431874,-082.2379525,06,,G4020,Perry,Perry County,39,2021-12-05,65.04604953003805,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000828,1118226926,13266460,18140,H1,159,01074091,198,A,39159,+40.2959008,-083.3670416,06,,G4020,Union,Union County,39,2021-12-05,61.3800348147689,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000829,1306415009,10754493,18140,H1,045,01074035,198,A,39045,+39.7476940,-082.6266850,06,,G4020,Fairfield,Fairfield County,39,2021-12-05,66.83750019360849,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000082a,1767505133,12752911,18140,H1,089,01074057,198,A,39089,+40.0915047,-082.4834352,06,,G4020,Licking,Licking County,39,2021-12-05,64.28856276301342,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000082b,1206498201,2066974,18140,H1,097,01074061,198,A,39097,+39.8966074,-083.4008847,06,,G4020,Madison,Madison County,39,2021-12-05,63.83028147982122,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000082c,1378944435,29034069,18140,H1,049,01074037,198,A,39049,+39.9698749,-083.0090858,06,,G4020,Franklin,Franklin County,39,2021-12-05,64.14751541665778,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000823,1298196084,13769343,18140,H1,129,01074077,198,A,39129,+39.6489470,-083.0528267,06,,G4020,Pickaway,Pickaway County,39,2021-12-06,75.24694081102729,1638748800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000824,1091232036,5959241,18140,H1,073,01074049,198,A,39073,+39.4903424,-082.4834473,06,,G4020,Hocking,Hocking County,39,2021-12-06,77.42682667218429,1638748800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
